SITE_ID,PROD_DEF_ID,PROC_DEF_ID,PROC_SGMT_ID,EQP_ID,LOT_ID,PROD_MTRL_ID,SUB_PROD_MTRL_ID,MTRL_FACE_CD,INSP_REPT_CNT,STRIP_NO,X_VAL,Y_VAL,GRD_ID,DFCT_ID,DFCT_X_VAL,DFCT_Y_VAL,INSP_DT,IMG_FILE_NM,REVIEW_IMG_FILE_NM,INSP_FILE_NM,ATTR_1,ATTR_2
SVM,NP24-09-001,R00005D002,P71801,AP-OL-13-01,D24500335,ET24400703,ET24400703010301,TOP,1,01,03,01,V,False,178035,441584,20240717113526,,,Y:\NP24-09-001\AP-OL-13\R00005D002\D24500335\ET24400703\ET24400703.csv,ATTR_1,ATTR_2
SVM,NP24-09-001,R00005D002,P71801,AP-OL-13-01,D24500335,ET24400703,ET24400703010301,TOP,1,01,03,01,V,False,177439,447210,20240717113526,,,Y:\NP24-09-001\AP-OL-13\R00005D002\D24500335\ET24400703\ET24400703.csv,ATTR_1,ATTR_2
SVM,NP24-09-001,R00005D002,P71801,AP-OL-13-01,D24500335,ET24400703,ET24400703010301,TOP,1,01,03,01,V,False,177451,447279,20240717113526,,,Y:\NP24-09-001\AP-OL-13\R00005D002\D24500335\ET24400703\ET24400703.csv,ATTR_1,ATTR_2
SVM,NP24-09-001,R00005D002,P71801,AP-OL-13-01,D24500335,ET24400703,ET24400703010301,TOP,1,01,03,01,V,False,177462,447295,20240717113526,,,Y:\NP24-09-001\AP-OL-13\R00005D002\D24500335\ET24400703\ET24400703.csv,ATTR_1,ATTR_2
SVM,NP24-09-001,R00005D002,P71801,AP-OL-13-01,D24500335,ET24400703,ET24400703010102,TOP,1,01,01,02,V,False,76746,371445,20240717113526,Y:\NP24-09-001\AP-OL-13\R00005D002\D24500335\ET24400703\RepairImage\Dimg_5_x76746_y371445_RepBefore.jpg,Y:\NP24-09-001\AP-OL-13\R00005D002\D24500335\ET24400703\RepairImage\Dimg_5_x76746_y371445_RepAfter.jpg,Y:\NP24-09-001\AP-OL-13\R00005D002\D24500335\ET24400703\ET24400703.csv,ATTR_1,ATTR_2
SVM,NP24-09-001,R00005D002,P71801,AP-OL-13-01,D24500335,ET24400703,ET24400703010102,TOP,1,01,01,02,V,False,57125,382034,20240717113526,Y:\NP24-09-001\AP-OL-13\R00005D002\D24500335\ET24400703\RepairImage\Dimg_6_x57125_y382034_RepBefore.jpg,Y:\NP24-09-001\AP-OL-13\R00005D002\D24500335\ET24400703\RepairImage\Dimg_6_x57125_y382034_RepAfter.jpg,Y:\NP24-09-001\AP-OL-13\R00005D002\D24500335\ET24400703\ET24400703.csv,ATTR_1,ATTR_2
SVM,NP24-09-001,R00005D002,P71801,AP-OL-13-01,D24500335,ET24400703,ET24400703010102,TOP,1,01,01,02,V,False,56795,384961,20240717113526,Y:\NP24-09-001\AP-OL-13\R00005D002\D24500335\ET24400703\RepairImage\Dimg_7_x56795_y384961_RepBefore.jpg,Y:\NP24-09-001\AP-OL-13\R00005D002\D24500335\ET24400703\RepairImage\Dimg_7_x56795_y384961_RepAfter.jpg,Y:\NP24-09-001\AP-OL-13\R00005D002\D24500335\ET24400703\ET24400703.csv,ATTR_1,ATTR_2
SVM,NP24-09-001,R00005D002,P71801,AP-OL-13-01,D24500335,ET24400703,ET24400703010102,TOP,1,01,01,02,V,False,57074,386557,20240717113526,Y:\NP24-09-001\AP-OL-13\R00005D002\D24500335\ET24400703\RepairImage\Dimg_8_x57074_y386557_RepBefore.jpg,Y:\NP24-09-001\AP-OL-13\R00005D002\D24500335\ET24400703\RepairImage\Dimg_8_x57074_y386557_RepAfter.jpg,Y:\NP24-09-001\AP-OL-13\R00005D002\D24500335\ET24400703\ET24400703.csv,ATTR_1,ATTR_2
SVM,NP24-09-001,R00005D002,P71801,AP-OL-13-01,D24500335,ET24400703,ET24400703010102,TOP,1,01,01,02,V,V,100664,398850,20240717113526,Y:\NP24-09-001\AP-OL-13\R00005D002\D24500335\ET24400703\RepairImage\Dimg_9_x100664_y398850_RepBefore.jpg,Y:\NP24-09-001\AP-OL-13\R00005D002\D24500335\ET24400703\RepairImage\Dimg_9_x100664_y398850_RepAfter.jpg,Y:\NP24-09-001\AP-OL-13\R00005D002\D24500335\ET24400703\ET24400703.csv,ATTR_1,ATTR_2
SVM,NP24-09-001,R00005D002,P71801,AP-OL-13-01,D24500335,ET24400703,ET24400703010102,TOP,1,01,01,02,V,False,96781,393755,20240717113526,,,Y:\NP24-09-001\AP-OL-13\R00005D002\D24500335\ET24400703\ET24400703.csv,ATTR_1,ATTR_2
SVM,NP24-09-001,R00005D002,P71801,AP-OL-13-01,D24500335,ET24400703,ET24400703010202,TOP,1,01,02,02,V,False,142905,374954,20240717113526,,,Y:\NP24-09-001\AP-OL-13\R00005D002\D24500335\ET24400703\ET24400703.csv,ATTR_1,ATTR_2
SVM,NP24-09-001,R00005D002,P71801,AP-OL-13-01,D24500335,ET24400703,ET24400703010202,TOP,1,01,02,02,V,False,157403,387738,20240717113526,,,Y:\NP24-09-001\AP-OL-13\R00005D002\D24500335\ET24400703\ET24400703.csv,ATTR_1,ATTR_2
SVM,NP24-09-001,R00005D002,P71801,AP-OL-13-01,D24500335,ET24400703,ET24400703010202,TOP,1,01,02,02,V,False,157070,391400,20240717113526,,,Y:\NP24-09-001\AP-OL-13\R00005D002\D24500335\ET24400703\ET24400703.csv,ATTR_1,ATTR_2
SVM,NP24-09-001,R00005D002,P71801,AP-OL-13-01,D24500335,ET24400703,ET24400703010202,TOP,1,01,02,02,V,False,157406,391736,20240717113526,,,Y:\NP24-09-001\AP-OL-13\R00005D002\D24500335\ET24400703\ET24400703.csv,ATTR_1,ATTR_2
